Company,Time,Net Income,Cash from Operations,Cash from Investing,Cash from Financing,Net Change in Cash,Levered Free Cash Flow,Unlevered Free Cash Flow,Free Cash Flow / Share,Price_Change
MCK,2019-03-01,-33.0,-309.0,1612.0,857.0,1891.0,109.9,98.0,-0.35,-23.81
CTSH,2019-12-01,-259.0,-93.0,3215.0,-876.0,2248.0,-107.0,-107.6,-0.04,-1.46
TT,2014-12-01,312.9,-118.3,18.4,-1206.1,-1460.8,-1055.8,-1089.2,-0.16,1.79
CNP,2014-12-01,300.0,-216.0,-84.0,828.0,528.0,-1307.8,-1313.9,-0.7,0.25
PAYX,2019-05-01,40.3,-4.9,-2626.8,-584.7,-3216.4,127.2,135.8,0.07,20.21
USNA,2017-12-01,-37.5,-13.1,19.0,14.6,39.4,23.2,22.9,0.23,12.85
TGNA,2011-12-01,-129.5,41.2,-87.9,-54.2,-100.3,-80.7,-80.6,0.15,-0.83
CCK,2016-12-01,103.0,-1090.0,2181.0,-1044.0,79.0,-248.9,-265.7,-8.74,1.87
SJI,2019-12-01,59.2,-22.5,1311.2,-1283.9,4.7,-228.8,-213.7,-1.66,5.18
YUM,2018-12-01,202.0,146.0,-1159.0,-825.0,-1962.0,172.7,187.0,0.88,10.31
DOV,2012-12-01,-84.1,187.4,-327.0,-292.4,-426.1,748.7,749.5,1.78,5.13
WAB,2019-12-01,31.8,700.8,-3030.5,-1516.6,-3847.0,3923.6,3990.5,2.56,7.55
FIS,2013-12-01,31.9,13.6,-441.5,374.8,-72.2,39.3,28.3,-0.07,18.87
LBTYA,2018-12-01,3503.4,255.1,648.1,-1510.2,-779.9,-2484.0,-2440.1,0.53,-14.5
CXO,2012-12-01,-116.4,38.0,-589.0,553.6,2.5,-923.4,-883.8,-9.57,-13.19
NOC,2017-12-01,826.0,-200.0,-84.0,8746.0,8462.0,511.0,547.8,-0.92,74.33
IVZ,2013-12-01,263.2,-39.1,-157.5,586.6,387.6,5080.4,5047.5,-0.03,10.31
EXPE,2012-12-01,-192.1,327.0,95.7,80.7,536.1,422.4,420.6,2.3,32.67
SJR,2011-08-01,-39.1,-222.6,229.1,447.0,453.6,-121.8,-55.3,-0.86,2.27
MKTX,2018-12-01,24.8,55.9,3.4,24.4,80.5,7.4,7.4,0.91,9.56
EIX,2013-12-01,1098.0,-367.0,1711.0,-69.0,1275.0,-1016.9,-996.9,0.56,1.11
INCY,2013-12-01,-38.8,104.0,-35.4,227.9,296.5,45.4,44.0,0.78,34.02
ENIA,2017-12-01,142.5,-662.2,-1744.1,505.4,-2034.1,-4834.6,-4867.8,-0.02,2.96
AGI,2012-12-01,-145.6,-110.0,571.0,-104.3,357.7,-61.7,-61.6,-1.43,0.57
ABT,2012-12-01,1235.0,344.0,-6221.0,6618.0,824.0,-4761.9,-4786.2,-0.03,4.44
REED,2017-12-01,-13.4,-0.9,-0.4,14.3,13.1,0.4,0.2,-0.07,-2.55
CINF,2016-12-01,-43.0,40.0,168.0,72.0,280.0,-126.1,-126.2,0.21,16.47
GPK,2017-12-01,72.2,-266.5,333.2,-66.7,4.1,58.3,66.2,-0.76,2.97
ATO,2013-09-01,26.5,26.2,-87.6,130.5,69.2,-186.3,-194.6,-0.94,6.8
XOM,2018-12-01,1130.0,5948.0,-716.0,-4316.0,345.0,-309.5,-206.4,0.4,-15.45
GD,2013-12-01,2689.0,422.0,279.0,657.0,1358.0,-167.2,-207.9,1.25,26.28
SMG,2013-09-01,54.6,188.6,11.5,-201.3,-3.1,198.0,196.4,3.19,11.18
TNK,2019-12-01,93.9,125.0,12.9,-86.4,51.5,33.0,40.6,3.54,16.55
PEIX,2013-12-01,18.3,35.0,6.0,-42.1,-1.1,21.0,20.2,4.11,0.35
AKAM,2018-12-01,75.6,207.3,-47.3,598.6,732.8,289.9,281.9,1.35,-3.96
HIG,2014-12-01,622.0,649.0,-2049.0,1344.0,-36.0,25574.4,25567.6,1.43,5.46
STZ,2012-02-01,-114.5,164.4,-323.2,271.0,110.9,-175.7,-180.1,0.98,1.52
USNA,2012-12-01,15.6,22.7,2.3,-31.1,-5.6,21.2,21.2,0.96,1.27
EMN,2012-12-01,-209.0,503.0,-2820.0,1927.0,-389.0,-246.4,-205.7,3.38,28.99
NGS,2011-12-01,2.8,4.8,-13.6,9.9,1.2,-12.1,-12.2,-0.81,-4.45
KT,2017-01-01,153.1,358.4,-846.5,207.6,-287.6,-153.6,-183.9,2.74,2.96
CINF,2019-12-01,1710.0,27.0,-228.0,57.0,-144.0,3504.1,3504.1,0.14,27.73
STC,2019-12-01,31.1,82.2,-2.4,10.0,96.5,-292.6,-292.3,3.2,-0.61
ICE,2012-12-01,42.0,20.0,497.0,67.0,588.0,-26.1,-23.5,0.1,0.65
AGI,2015-12-01,-339.3,-17.4,248.7,19.2,247.6,1.9,4.5,0.42,-3.84
EXPD,2013-12-01,15.1,37.4,-29.8,31.0,20.3,56.1,56.1,0.19,4.7
XOM,2013-12-01,-12300.0,-11256.0,-8600.0,18392.0,-1856.0,-4361.8,-4560.5,-2.19,14.65
MA,2012-12-01,853.0,264.0,-2091.0,-583.0,-2349.0,-572.7,-575.8,0.22,11.85
AMD,2012-12-01,-1674.0,-720.0,94.0,43.0,-583.0,-263.5,-255.6,-0.82,-3.0
CTXS,2011-12-01,79.2,62.8,5.8,-266.3,-197.6,87.1,87.1,0.13,-6.12
FISV,2013-12-01,37.0,200.0,-12.0,-167.0,21.0,165.7,158.9,0.35,9.76
PRGO,2015-06-01,-96.7,222.2,-658.0,494.4,-33.5,368.7,382.2,3.07,39.07
LMT,2018-12-01,3083.0,-3338.0,72.0,153.0,-3113.0,2257.5,2268.2,-11.87,-59.21
LB,2020-02-01,-1010.0,-141.0,129.0,206.0,188.0,170.5,166.1,0.11,-4.48
AMAT,2014-10-01,816.0,1177.0,-376.0,171.0,972.0,1158.1,1158.1,0.93,4.23
TAC,2013-12-01,554.8,198.4,389.7,-549.8,36.2,109.9,107.6,1.56,-2.56
REED,2013-12-01,-1.0,-2.4,-0.1,1.9,-0.6,-2.2,-2.1,-0.2,2.3
DISH,2014-12-01,137.2,105.6,2058.0,-871.2,1292.3,-2383.3,-2467.0,-4.77,14.97
ALL,2012-12-01,1519.0,1125.0,-4580.0,3271.0,-184.0,-1879.0,-1875.2,2.43,12.76
RPM,2015-05-01,-52.2,52.3,-409.8,247.4,-147.5,-9.6,-5.5,0.47,6.96
KEP,2017-12-01,-4623.0,-3143.8,-3824.1,7027.2,-32.6,-5187.3,-5040.4,-7.73,-0.77
RTX,2019-12-01,268.0,2561.0,13881.0,-12529.0,4014.0,2646.6,2989.1,2.32,27.27
GPN,2019-12-01,-21.5,285.2,559.2,-315.6,592.4,234.9,301.0,-0.17,79.43
GSS,2018-12-01,-56.9,-62.8,19.8,105.5,62.7,-26.7,-20.4,-0.44,-1.3
PKG,2016-12-01,12.8,38.3,-471.5,429.0,-4.2,68.8,72.7,1.0,21.77
FDP,2016-12-01,162.7,107.4,-18.6,-71.6,4.4,59.7,59.6,1.84,19.82
DAR,2011-12-01,125.2,159.4,699.9,-790.6,68.7,104.7,115.7,0.9,-0.26
CPYYY,2019-12-01,-1588.5,-809.6,617.4,1811.3,1608.8,688.6,674.8,-0.12,-2.01
SEE,2014-12-01,132.3,-865.6,-133.0,-1.3,-1016.5,-995.4,-1041.2,-4.5,8.38
RPM,2014-05-01,193.1,-90.4,327.7,-275.4,-38.3,-215.7,-215.0,-0.73,9.94
ES,2019-12-01,-123.9,179.1,-837.3,442.6,-215.7,-1105.5,-1084.1,-0.48,20.03
HD,2020-02-01,121.0,685.0,-237.0,1586.0,2172.0,-163.5,-69.7,0.79,32.7
DUK,2013-12-01,897.0,1138.0,1219.0,-1594.0,763.0,1889.1,2076.0,1.66,5.21
PFG,2011-12-01,-24.6,-78.4,-229.6,1627.5,1319.5,-405.8,-395.0,-0.21,-7.96
INTU,2018-07-01,344.0,513.0,-520.0,998.0,971.0,-45.4,-52.3,2.44,67.03
WU,2013-12-01,-227.5,-96.7,-83.1,70.8,-109.0,3121.6,3131.7,0.0,3.64
SEIC,2017-12-01,70.6,25.7,-90.7,75.1,34.6,-2.2,-2.0,0.18,22.5
ECL,2019-12-01,129.8,143.0,-169.1,-176.9,-190.2,432.9,419.3,0.66,45.64
CWCO,2015-12-01,1.2,-0.9,13.2,-5.4,7.0,9.8,9.8,-0.03,1.56
GASS,2017-12-01,6.6,16.2,5.2,13.1,34.5,0.1,1.3,0.29,0.98
VRTX,2015-12-01,182.3,207.7,186.9,-360.3,33.5,40.3,47.3,0.62,7.03
DOV,2018-12-01,-241.4,-37.0,-431.1,-303.7,-762.5,-233.5,-242.2,-0.09,-10.57
INTU,2015-07-01,-542.0,143.0,-133.0,129.0,119.0,-243.2,-245.7,0.31,23.8
NDAQ,2019-12-01,316.0,-65.0,-436.0,90.0,-411.0,-283.8,-300.0,-0.48,25.53
CTL,2017-12-01,763.0,-730.0,-5877.0,6874.0,267.0,3229.2,3333.0,-1.79,-7.1
ELP,2015-12-01,-173.6,-77.2,471.4,169.4,563.8,578.5,573.3,1.08,-6.39
EONGY,2011-12-01,-10731.3,-6277.0,-4977.3,5727.0,-5564.4,-366.6,-780.0,-1.97,-9.02
LYV,2013-12-01,119.8,64.3,46.2,52.9,141.3,85.1,74.1,0.31,10.45
TMO,2013-12-01,95.4,-28.8,1107.6,4227.7,5231.1,320.9,333.7,0.06,47.57
COP,2014-12-01,-2287.0,428.0,-8660.0,4559.0,-3812.0,-9687.2,-9664.7,-0.91,-1.59
EXC,2019-12-01,931.0,-1985.0,574.0,161.0,-1250.0,-973.9,-935.1,-1.58,0.49
IP,2014-12-01,-840.0,49.0,-33.0,-398.0,-421.0,453.8,458.8,-0.13,5.24
CAG,2013-05-01,306.0,360.2,-4401.5,4982.6,934.4,-155.5,-111.1,0.82,6.65
HD,2017-01-01,948.0,410.0,1399.0,-2083.0,-171.0,414.0,447.1,0.48,11.82
RMD,2018-06-01,-26.7,90.9,-19.9,-763.8,-723.7,271.9,271.9,0.62,25.71
F,2015-12-01,6142.0,1719.0,-5038.0,10843.0,7226.0,45688.8,45673.8,0.48,-1.37
SRE,2016-12-01,21.0,-587.0,-1967.0,2678.0,135.0,-2635.9,-2642.8,-6.55,6.63
AMX,2012-01-01,-1424.4,-2400.8,261.6,-3476.4,-5570.6,-6418.4,-6410.2,-0.05,-5.36
GASS,2014-12-01,-8.5,6.1,28.7,-35.6,-1.0,-1.8,-2.0,0.76,-3.88
SYK,2015-12-01,924.0,-801.0,3834.0,-1852.0,1128.0,-2935.3,-2938.5,-2.2,-1.39
LB,2015-01-01,139.0,538.0,-44.0,-1073.0,-584.0,444.0,450.2,1.75,27.02
EFX,2016-12-01,59.7,53.9,-1828.1,1799.3,71.0,44.6,62.3,0.19,6.86
FDX,2011-05-01,268.0,903.0,-638.0,405.0,716.0,-435.2,-430.9,0.9,10.15
CF,2016-12-01,-977.0,-590.0,781.0,2362.0,2571.0,-1165.5,-1123.6,-1.48,-9.33
XEL,2019-12-01,111.0,141.0,-357.0,253.0,37.0,-97.8,-52.2,-0.22,14.22
FSI,2015-12-01,1.1,1.6,-0.1,-0.1,1.6,1.4,1.3,0.12,-0.14
ROK,2017-09-01,96.0,86.7,-76.7,-251.9,-214.6,-320.8,-317.6,0.57,55.87
WM,2014-12-01,1200.0,-124.0,2895.0,-1385.0,1385.0,529.0,522.7,0.02,6.45
UNFI,2018-07-01,35.5,-164.3,13.0,163.5,11.1,-134.1,-134.2,-3.02,-6.33
HWKN,2018-04-01,-31.8,-17.6,4.2,24.6,11.3,-14.4,-13.9,-1.49,-18.6
LBTYA,2019-12-01,10796.1,-1377.7,9187.3,-986.8,6867.1,-2077.2,-2132.5,-1.05,1.4
EMR,2017-09-01,-117.0,-969.0,2140.0,-1546.0,-248.0,72.6,63.8,-1.54,8.33
PEIX,2014-12-01,22.1,74.1,-7.0,-7.8,59.3,48.5,44.8,2.71,5.24
ADI,2017-10-01,-56.3,-136.9,-5399.7,5620.2,89.9,517.3,618.6,-1.03,27.2
CPE,2012-12-01,-103.7,-27.9,-2.2,-38.9,-69.1,-31.8,-33.4,-1.52,-0.27
DTE,2014-12-01,244.0,-309.0,-154.0,472.0,9.0,-876.7,-881.1,-2.74,19.98
EPD,2019-12-01,418.9,394.2,-293.9,-440.2,-339.9,-185.2,-93.7,0.04,3.57
AEP,2017-12-01,1301.7,-248.9,1390.2,-1108.8,32.5,2432.5,2443.7,-2.1,10.61
BP,2017-12-01,3274.0,8240.0,676.0,-5273.0,5007.0,2817.4,3094.9,0.44,4.66
MO,2017-12-01,-4017.0,1075.0,-4175.0,-2442.0,-5542.0,-1577.9,-1587.3,0.59,3.79
DVN,2016-12-01,11840.0,-3398.0,5209.0,-3008.0,-1181.0,-5041.7,-5095.6,1.0,13.67
CLNE,2018-12-01,75.4,42.3,13.7,-52.0,3.3,56.7,55.6,0.34,-0.31
UHS,2012-12-01,45.2,88.5,-503.8,385.7,-29.6,-0.9,-14.6,0.01,9.83
NBL,2012-12-01,574.0,763.0,586.0,-1791.0,-442.0,-1726.3,-1688.8,-0.81,3.67
AMAT,2015-10-01,305.0,-637.0,-120.0,1261.0,504.0,-928.1,-923.1,-0.5,-5.32
DISCA,2018-12-01,931.0,947.0,-7960.0,-6234.0,-13332.0,1864.5,2042.6,0.96,2.36
PNW,2011-12-01,-10.6,375.1,-206.1,-210.5,-41.4,-205.7,-207.0,2.18,6.73
DE,2011-10-01,934.9,44.1,-511.6,1149.3,717.7,1377.8,1376.0,-0.74,-0.9
BR,2012-06-01,-46.0,69.9,230.3,-36.2,250.1,130.8,132.9,0.57,-2.8
WLTW,2016-12-01,107.0,689.0,1138.0,-1415.0,441.0,778.5,804.7,3.16,-6.38
UNH,2012-12-01,384.0,187.0,-4477.0,2961.0,-1329.0,192.4,271.8,0.42,3.56
KEP,2012-12-01,-73.5,111.8,-1373.1,2411.4,1138.0,-2497.6,-2263.5,-2.46,2.99
FAST,2017-12-01,79.2,65.3,8.8,-60.4,20.5,136.3,137.9,0.24,3.85
ALGN,2012-12-01,-8.0,3.3,133.3,-17.0,119.7,3.2,4.0,-0.09,4.02
PEIX,2016-12-01,20.2,65.2,-8.3,-33.7,23.2,61.4,66.2,1.9,4.72
VFF,2012-12-01,2.1,9.6,28.4,-31.0,6.8,15.3,16.0,0.95,-0.52
ABC,2015-09-01,-412.4,2457.5,-2547.0,-129.1,-218.6,820.1,836.1,11.67,17.69
SHW,2015-12-01,187.9,366.0,21.5,486.7,869.2,404.0,402.6,4.0,-3.44
TSN,2012-09-01,-167.0,141.0,-16.0,487.0,617.0,-111.3,-35.0,0.29,-3.26
CVS,2016-12-01,80.0,1602.0,10950.0,-11640.0,934.0,1226.3,1395.6,1.86,-18.86
HHS,2015-12-01,-194.9,7.3,-24.9,12.7,-5.2,-149.6,-148.3,1.39,-45.0
GE,2011-12-01,2507.0,-2765.0,-12554.0,14723.0,-1104.0,1227.8,1039.7,-0.51,-0.36
A,2011-10-01,328.0,542.0,2468.0,-2294.0,708.0,3284.1,3277.9,1.37,1.62
JNJ,2012-01-01,-3662.0,-2087.0,3242.0,528.0,1642.0,-2805.9,-2733.4,-0.92,6.14
LOW,2013-02-01,120.0,-587.0,534.0,-784.0,-835.0,263.6,311.1,0.24,9.77
MLM,2015-12-01,133.2,198.9,137.8,-343.3,-6.4,54.2,60.6,1.18,26.26
VLO,2015-12-01,360.0,1370.0,357.0,-615.0,1028.0,1968.5,1991.0,4.06,21.21
AFL,2018-12-01,-1684.0,-114.0,1849.0,449.0,2214.0,450.1,438.8,0.07,1.67
MA,2013-12-01,357.0,1187.0,2835.0,-831.0,3229.0,2058.4,2054.7,0.99,34.42
GILD,2014-12-01,9026.0,9713.0,-1569.0,-481.0,7605.0,5869.8,5935.5,6.15,19.16
LUV,2014-12-01,382.0,425.0,-343.0,-397.0,-315.0,642.5,642.5,0.11,23.48
SAM,2011-12-01,16.0,5.0,-6.0,8.1,7.0,-11.4,-11.4,0.12,13.47
LMT,2015-12-01,-9.0,1235.0,-8011.0,7591.0,815.0,-803.2,-738.8,3.87,24.58
IPGP,2017-12-01,86.8,107.7,103.6,-30.8,244.7,50.3,50.3,1.99,115.42
FAST,2016-12-01,-17.0,-30.4,-7.5,-5.9,-30.9,-117.9,-115.7,-0.11,3.08
MSEX,2012-12-01,1.0,6.8,-2.2,-5.2,-0.8,2.9,3.1,0.56,0.9
FAST,2012-12-01,62.6,127.8,5.0,-145.7,-12.1,104.0,104.0,0.19,1.77
AES,2011-12-01,49.0,-619.0,-2866.0,2118.0,-1497.0,-558.0,-507.3,-0.97,-0.34
CMS,2012-12-01,-33.0,72.0,-292.0,240.0,18.0,-452.8,-469.0,-1.09,2.3
LB,2016-01-01,211.0,241.0,256.0,203.0,705.0,98.2,104.4,0.8,13.02
IDXX,2014-12-01,-5.9,-10.2,5.7,-0.9,-11.6,52.3,58.7,0.18,20.95
VERU,2017-09-01,-6.9,2.7,-0.1,0.0,2.6,-0.5,-0.5,0.08,1.43
HUM,2016-12-01,-662.0,1068.0,-1682.0,1284.0,670.0,-601.0,-599.2,7.12,25.52
HAIN,2013-06-01,35.5,-1.0,-135.4,148.7,9.0,-23.6,-21.4,-0.62,4.99
CENT,2019-09-01,-30.8,90.9,64.6,-585.6,-430.3,85.8,87.9,1.58,-6.81
CE,2017-12-01,-57.0,-90.0,-110.0,408.0,267.0,45.3,47.6,-0.57,28.34
GLW,2014-12-01,511.0,1922.0,42.0,-523.0,889.0,695.3,697.2,1.56,5.11
POR,2019-12-01,2.0,-84.0,-133.0,48.0,-169.0,80.5,82.4,-1.06,9.94
SKM,2013-12-01,469.6,-389.8,2618.0,-1093.2,1140.3,1268.4,1222.6,-0.57,8.79
PCAR,2012-12-01,69.3,-73.6,-169.0,-736.6,-900.2,-2942.5,-2950.9,-0.65,7.44
DVA,2011-12-01,72.3,340.3,-962.6,-164.8,-787.1,164.1,199.2,1.33,3.17
THS,2012-12-01,-6.0,48.5,-35.1,77.5,94.1,53.5,52.6,1.27,-13.25
GPS,2019-02-01,155.0,1.0,-335.0,-18.0,-381.0,-196.9,-197.5,0.11,-6.18
AIG,2016-12-01,-3045.0,625.0,-5210.0,4596.0,-2.0,61921.9,61908.8,1.0,3.34
NDAQ,2012-12-01,-35.0,-81.0,18.0,-154.0,-200.0,4021.0,4026.3,-0.31,0.48
ORAN,2015-12-01,1760.6,-307.2,-2526.9,-4075.3,-3483.4,5758.7,5623.1,-0.52,-0.29
PNR,2019-12-01,8.3,-86.1,-263.1,390.8,20.2,-442.3,-443.8,-0.48,8.09
DIS,2011-10-01,844.0,416.0,1237.0,-570.0,1158.0,-1257.5,-1270.7,-0.5,-1.25
ADP,2018-06-01,97.1,389.3,-1391.4,6625.8,5637.5,664.5,678.7,0.94,31.68
ROL,2018-12-01,52.6,50.9,52.8,-32.0,44.1,-0.8,-0.8,0.15,5.15
ANSS,2017-12-01,-6.3,61.7,-62.5,-6.1,20.7,52.2,52.2,0.76,55.1
EMR,2013-09-01,36.0,596.0,17.0,-34.0,593.0,993.9,989.5,0.87,16.43
WBA,2014-08-01,-616.0,-408.0,265.0,-126.0,-269.0,-350.2,-308.8,-0.35,12.45
TT,2013-12-01,-399.8,-103.9,-68.9,1650.5,1507.4,2406.6,2423.4,-0.24,23.32
AUY,2017-12-01,119.4,-180.8,-223.6,485.4,80.3,-249.0,-254.0,-0.31,0.31
HWKN,2019-03-01,33.6,20.7,7.0,-21.5,6.1,20.6,20.6,2.6,4.33
AMZN,2013-12-01,313.0,1295.0,-681.0,-2798.0,-2241.0,1500.5,1531.1,3.57,147.92
BRK.B,2014-12-01,396.0,4306.0,7209.0,1770.0,12932.0,-11255.6,-10920.0,127.53,31.59
ORAN,2017-12-01,-749.5,2996.8,-4392.1,-1303.0,-2639.0,-5821.8,-5770.0,1.09,2.26
SBOW,2013-12-01,-24.1,-3.2,223.8,33.9,254.6,261.3,269.0,5.06,-1.89
CI,2016-12-01,-227.0,1093.0,-838.0,384.0,669.0,1079.0,1078.3,4.5,-12.94
CMS,2011-12-01,75.0,210.0,-55.0,-401.0,-243.0,-116.8,-126.1,0.58,3.48
APH,2011-12-01,27.8,140.3,-82.7,-215.8,-152.1,100.7,102.2,0.46,-3.69
WST,2013-12-01,31.6,33.1,-33.9,-1.7,-2.0,-35.7,-35.5,0.12,21.68
ALXN,2019-12-01,2326.7,1658.9,-460.8,-636.7,573.4,330.3,320.6,7.62,10.79
HES,2018-12-01,3792.0,994.0,-2924.0,-2338.0,-4268.0,-1033.8,-987.5,2.62,-6.97
CMG,2011-12-01,35.9,121.9,-20.3,70.2,171.1,80.3,80.9,2.7,125.08
GOOGL,2017-12-01,-6816.0,1055.0,-236.0,34.0,1428.0,3938.1,3928.8,-3.05,260.95
DUK,2017-12-01,907.0,-239.0,3086.0,-2469.0,-96.0,-1402.0,-1358.3,-0.54,6.49
SLB,2012-12-01,493.0,891.0,-3009.0,2361.0,259.0,490.4,516.6,-0.15,0.99
SLGN,2015-12-01,-10.0,-12.4,-80.2,-92.1,-184.7,-146.5,-151.3,-0.83,0.06
QCOM,2016-09-01,434.0,2126.0,84.0,-3493.0,-1267.0,2063.0,2183.6,2.15,14.77
DTE,2019-12-01,49.0,-31.0,-2385.0,2446.0,30.0,139.9,191.1,-1.7,19.57
SNA,2012-12-01,29.8,200.8,46.5,166.7,415.5,93.0,89.2,3.13,28.37
RTX,2017-12-01,-503.0,1751.0,-516.0,195.0,1760.0,3226.4,3238.8,1.91,11.31
MDLZ,2012-12-01,-487.0,-597.0,41.0,3379.0,3008.0,816.4,589.5,-0.26,1.01
JNJ,2019-12-01,-178.0,1215.0,-3027.0,495.0,-1085.0,7165.7,6736.4,0.62,16.82
LOW,2018-02-01,354.0,-552.0,1920.0,-1515.0,-123.0,-92.7,-95.8,-0.36,15.22
ICE,2017-12-01,1096.0,-64.0,952.0,-509.0,415.0,14.0,19.6,-0.07,14.14
WAB,2011-12-01,47.0,72.5,10.1,-72.6,0.4,110.3,109.7,0.57,8.53
GPK,2011-12-01,266.2,49.7,-89.1,185.2,144.2,-57.6,-75.5,-0.02,0.37
QCOM,2018-09-01,-7409.0,-1093.0,-18082.0,-37071.0,-56335.0,1708.0,1879.2,-0.78,20.19
CLPHY,2018-12-01,524.8,-66.5,704.2,-718.8,-157.1,545.5,553.5,-0.06,0.98
MTRN,2015-12-01,-9.9,30.7,-24.5,14.0,20.7,-7.6,-7.7,0.49,-7.23
THS,2011-12-01,3.5,-88.6,831.8,-746.1,-4.9,-47.3,-40.3,-3.03,14.29
GD,2018-12-01,433.0,-708.0,-9446.0,7485.0,-2669.0,-506.4,-345.7,-3.13,-46.24
CMCL,2018-12-01,1.4,-6.8,1.4,5.6,0.0,-5.9,-5.8,-0.51,-2.14
EA,2020-03-01,2020.0,250.0,-1526.0,-105.0,-1390.0,696.7,697.0,0.95,-1.46
TU,2016-12-01,-85.3,-165.7,1049.9,-846.1,38.1,1428.0,1449.9,0.81,8.4
WM,2012-12-01,-144.0,-174.0,355.0,36.0,217.0,-373.4,-369.0,-0.75,1.03
FISV,2017-12-01,316.0,71.0,-103.0,32.0,0.0,18.0,11.2,0.29,12.42
DEO,2014-06-01,118.3,-28.2,23.5,-2473.4,-2861.2,-20.3,-29.2,-0.07,12.32
SSRM,2017-12-01,4.3,-26.0,27.8,15.7,17.4,-44.4,-39.2,-0.38,-0.13
VOD,2020-03-01,7982.2,4592.8,1425.4,-15283.4,-9559.6,2642.6,3117.9,0.17,-4.41
SMG,2011-09-01,-36.2,-173.8,212.4,-14.4,25.3,158.5,163.4,-2.45,-6.89
CENT,2018-09-01,44.8,-0.2,21.9,485.2,506.9,-36.9,-30.5,0.08,-2.8
MSCI,2019-12-01,55.7,96.7,-106.8,589.8,587.7,6.8,15.9,1.28,110.75
MRWSY,2012-01-01,81.7,33.9,-476.4,444.3,1.8,-430.7,-427.0,-0.1,1.22
STE,2014-03-01,-30.6,-18.2,338.4,-308.4,19.6,25.7,27.6,-0.32,6.14
GLP,2019-12-01,-67.2,-74.5,158.5,-73.4,10.6,-25.6,-24.4,-2.62,3.86
FLO,2016-12-01,-25.4,20.9,393.1,-428.8,-14.9,4.4,9.4,0.08,-0.57
UPS,2016-12-01,-1422.0,-957.0,2746.0,-1575.0,310.0,-2069.9,-2044.9,-1.64,18.41
URI,2014-12-01,153.0,250.0,-823.0,491.0,-86.0,435.4,438.1,1.55,24.06
CMS,2018-12-01,197.0,-2.0,-738.0,764.0,24.0,-332.8,-319.7,-1.45,2.35
CTSH,2017-12-01,-49.0,762.0,381.0,-1242.0,-18.0,391.5,394.0,1.36,14.99
CINF,2017-12-01,454.0,-63.0,-102.0,-188.0,-353.0,120.8,120.8,-0.39,-0.27
NEWT,2019-12-01,5.4,-15.3,0.5,5.8,-8.9,32.6,35.2,-0.64,5.21
AMP,2019-12-01,-205.0,-256.0,-2647.0,2477.0,-409.0,-321.6,-314.7,-0.33,62.21
NDAQ,2016-12-01,-322.0,49.0,-1222.0,1348.0,180.0,98.8,113.9,0.34,8.95
AEP,2011-12-01,730.0,1126.0,-367.0,-636.0,123.0,121.8,81.8,1.91,5.33
HPQ,2016-10-01,-2058.0,-3774.0,5582.0,-15253.0,-13445.0,23911.9,23978.1,-0.26,2.25
ROP,2015-12-01,50.1,88.4,-1350.2,1294.3,17.4,185.5,188.9,0.84,33.44
MET,2019-12-01,776.0,2048.0,-11952.0,7369.0,-2343.0,3448.1,3343.7,2.98,9.91
F,2016-12-01,-2784.0,3624.0,860.0,-6866.0,-1832.0,-35114.3,-35003.0,0.96,-1.64
ALGN,2014-12-01,81.5,40.9,9.1,-28.2,20.3,31.4,32.8,0.44,-1.23
PRGO,2013-06-01,40.3,40.4,-263.7,118.5,-115.0,-11.9,-11.5,0.47,3.07
BGS,2015-01-01,-11.3,-15.8,88.6,-60.2,12.5,-14.9,-11.3,-0.4,-4.07
XEC,2018-12-01,297.6,454.4,180.3,17.8,652.4,-44.3,-47.2,0.68,-60.36
GLUU,2016-12-01,-80.2,-8.3,-44.8,-135.2,-188.2,17.2,17.1,-0.05,-0.49
KT,2015-12-01,1408.2,1838.8,864.0,-1971.1,736.9,1693.6,1626.5,8.21,-2.21
RPM,2019-05-01,-71.2,-97.5,13.0,185.6,84.8,-51.8,-53.1,-0.9,4.02
MAS,2015-12-01,-501.0,208.0,-89.0,-224.0,-75.0,64.1,64.2,0.57,6.14
SJM,2019-04-01,-824.2,-76.8,-1646.6,1621.0,-117.1,-207.0,-185.8,-1.02,8.55
PHM,2017-12-01,-155.5,594.8,421.0,-1380.6,-364.9,1234.3,1234.2,1.98,14.87
CSCO,2018-07-01,-9499.0,-210.0,21354.0,-27958.0,-6814.0,1791.7,1843.0,0.07,10.84
CTAS,2012-05-01,50.6,129.0,194.3,-440.6,-125.1,241.9,255.1,1.3,4.0
VFC,2018-03-01,396.3,-2447.6,552.3,2990.1,1140.8,-365.8,-429.5,-6.29,0.12
AAL,2018-12-01,130.0,-1211.0,1663.0,-527.0,-75.0,1397.9,1399.7,2.05,-19.92
AMZN,2012-12-01,-670.0,277.0,-1665.0,2741.0,1323.0,-499.1,-482.3,-3.75,77.77
CMS,2014-12-01,25.0,60.0,-366.0,272.0,-34.0,-137.4,-131.8,-0.71,7.98
CWCO,2017-12-01,2.1,7.3,-0.1,6.3,13.4,6.7,6.7,0.42,1.75
MMC,2019-12-01,92.0,-67.0,-4582.0,4616.0,228.0,-92.0,54.3,-0.35,31.66
GRMN,2018-12-01,-14.9,258.7,-113.1,162.2,265.2,348.3,348.3,1.31,3.75
MAR,2016-12-01,-51.0,104.0,-2713.0,3387.0,778.0,805.6,847.5,0.81,15.64
