Company,Time,Net Income,Cash from Operations,Cash from Investing,Cash from Financing,Net Change in Cash,Levered Free Cash Flow,Unlevered Free Cash Flow,Free Cash Flow / Share,Price_Change
SO,2016-12-01,81.0,-1380.0,-12767.0,14025.0,-122.0,-1092.4,-799.8,-3.12,2.4
PNR,2012-12-01,-99.7,-276.5,1183.7,-735.9,183.3,-627.7,-621.5,-2.91,10.65
ADM,2016-12-01,-570.0,-8213.0,6873.0,2070.0,730.0,-2120.2,-2129.6,-13.51,8.97
ROL,2015-12-01,14.4,2.3,19.6,9.3,36.0,49.3,49.3,-0.02,2.59
STX,2011-07-01,-1098.0,-668.0,-229.0,475.0,-422.0,-1141.3,-1116.4,-1.7,1.34
MNST,2012-12-01,53.8,-46.1,444.8,-544.9,-141.3,-51.8,-51.8,-0.11,2.25
MTD,2016-12-01,31.6,21.0,-130.7,156.4,46.2,-72.9,-72.6,-0.21,79.43
TAC,2016-12-01,110.0,242.7,169.5,-228.8,179.0,21.7,21.2,1.14,1.96
EMR,2014-09-01,143.0,43.0,-370.0,-626.0,-1034.0,-1148.8,-1161.2,0.2,-2.12
MBT,2015-12-01,-147.6,-586.4,-310.6,157.3,-892.6,-628.3,-573.7,-0.57,-0.96
MSFT,2014-06-01,211.0,3669.0,4978.0,-517.0,7999.0,4055.1,4160.2,0.33,7.15
KSU,2013-12-01,-25.9,125.1,-281.4,513.0,356.7,-298.9,-311.3,-1.29,40.35
WST,2014-12-01,14.8,-37.6,45.9,-25.7,-42.8,98.0,97.7,0.07,4.18
K,2011-12-01,-421.0,587.0,-122.0,-518.0,-94.0,-204.1,-213.5,1.35,0.27
REGN,2011-12-01,-117.3,-240.9,565.5,140.9,465.5,17.2,20.8,-2.19,22.6
KEP,2016-12-01,-5452.8,-709.6,313.5,-1903.7,-2294.6,296.4,227.2,1.93,-2.69
NTES,2012-12-01,70.6,31.6,-205.7,-74.3,-247.5,198.4,198.4,0.54,-2.27
GRMN,2019-12-01,258.4,-221.0,-143.2,-129.8,-484.2,-253.4,-253.4,-0.98,34.24
GLW,2017-12-01,-4192.0,-533.0,-5372.0,3698.0,-1765.0,-1185.7,-1188.1,-1.16,7.72
VLO,2019-12-01,-700.0,1160.0,927.0,171.0,2469.0,1865.3,1855.2,3.48,18.68
KR,2019-02-01,1203.0,751.0,1521.0,-2215.0,57.0,1624.0,1635.8,0.81,2.21
AVY,2012-12-01,25.3,90.7,-55.8,-26.1,6.9,229.8,231.0,0.75,6.24
INCY,2019-12-01,337.4,374.5,-1.1,31.0,404.1,309.6,310.1,1.7,23.73
SBOW,2012-12-01,-74.6,-58.5,-307.2,-51.2,-416.8,-376.6,-362.9,-7.22,-14.33
PAYX,2018-05-01,167.8,316.0,1660.7,58.9,2035.6,117.3,118.1,0.72,6.35
MRK,2019-12-01,3623.0,2518.0,-6943.0,4299.0,96.0,2096.4,2172.0,0.77,14.54
HIG,2011-12-01,-924.0,-1035.0,-748.0,2346.0,599.0,-362.2,-382.3,-2.45,-10.24
HSY,2013-12-01,159.6,96.6,121.8,140.3,355.6,155.1,150.7,0.12,25.01
NVDA,2019-01-01,1094.0,241.0,-5375.0,-322.0,-5456.0,57.2,55.2,0.31,-102.05
LKQ,2016-12-01,40.8,90.7,-1379.9,1464.2,167.2,-455.5,-436.6,0.16,1.02
ZBH,2018-12-01,-2193.0,165.1,94.2,-91.7,128.1,119.5,97.0,1.03,-16.95
STX,2015-07-01,172.0,92.0,-965.0,-184.0,-1078.0,-180.4,-172.9,-0.06,-6.22
QCOM,2011-09-01,1013.0,824.0,-3650.0,3923.0,1085.0,259.8,304.1,1.03,3.5
MTD,2018-12-01,136.6,48.7,78.4,-68.5,39.4,63.8,64.8,1.63,-53.94
WEC,2016-12-01,300.5,810.2,1163.3,-2057.5,-84.0,322.5,366.6,2.05,7.34
NI,2019-12-01,433.7,1043.2,3.7,-1102.3,-55.4,845.7,877.0,2.89,2.49
TJX,2013-02-01,410.6,1139.7,-476.0,-139.9,539.4,1150.9,1147.2,0.69,5.44
PEP,2014-12-01,-227.0,818.0,-2312.0,-4475.0,-6319.0,1243.7,1242.5,0.6,11.62
SEE,2019-12-01,69.9,83.1,-398.9,618.2,313.0,152.0,153.9,0.45,4.99
EPD,2016-12-01,-8.1,64.4,-579.9,937.7,422.2,-1764.3,-1751.3,0.43,1.46
F,2011-12-01,13652.0,-1693.0,-9949.0,20180.0,8432.0,-13449.9,-14068.6,-0.69,-5.82
CI,2014-12-01,626.0,1439.0,-1881.0,-705.0,-1192.0,1714.0,1710.8,5.7,15.43
FE,2015-12-01,279.0,747.0,237.0,-805.0,179.0,1139.5,1172.1,3.32,-7.26
EL,2012-06-01,156.1,99.7,178.6,-272.0,-37.6,296.3,294.5,0.1,1.53
CINF,2013-12-01,96.0,158.0,-205.0,-56.0,-103.0,161.5,161.5,0.94,13.02
PKI,2013-12-01,97.3,6.4,79.1,-110.0,-27.3,62.5,62.1,0.1,9.49
MET,2014-12-01,2941.0,245.0,110.0,11163.0,11376.0,-595.5,-651.1,-0.08,0.15
BEN,2019-09-01,431.3,-2028.1,-786.7,3721.2,886.1,-2869.4,-2884.3,-4.01,-1.55
NSC,2017-12-01,3736.0,219.0,351.0,-691.0,-121.0,322.1,314.0,1.42,36.83
COO,2012-10-01,72.9,-21.2,-76.8,104.5,6.1,-8.7,-12.1,-0.47,26.68
DIS,2019-09-01,-1544.0,-7689.0,1218.0,7753.0,1209.0,-2564.9,-2212.3,-5.52,13.38
BIP,2011-12-01,-166.0,262.0,-835.0,514.0,-48.0,-373.9,-305.7,-1.24,3.99
ATO,2019-09-01,-91.7,-155.9,-220.1,399.4,23.4,-298.9,-302.7,-3.09,19.98
SMG,2014-09-01,5.4,-101.1,-91.4,156.3,-38.4,-183.0,-190.4,-2.08,1.77
SAM,2016-12-01,-11.1,-14.5,28.2,-34.6,-21.0,33.0,33.0,1.13,-32.06
PPG,2011-12-01,326.0,126.0,1302.0,-1528.0,-168.0,-393.1,-380.0,0.48,-0.29
SYY,2015-06-01,-244.7,62.7,-77.5,4813.5,4716.2,372.8,435.1,0.06,-1.35
ILMN,2012-01-01,-38.3,85.5,-115.9,-19.5,-50.3,75.7,71.3,0.51,-17.48
TT,2016-12-01,811.6,633.5,1433.0,-199.3,1946.3,116.9,116.1,2.76,19.75
MMM,2014-12-01,297.0,809.0,260.0,-1357.0,-382.0,613.0,611.1,1.82,24.07
CPRT,2019-07-01,173.8,111.5,-67.8,-188.3,-152.6,-100.3,-100.6,0.11,20.14
