Company,Time,Total Assets,Total Liabilities,Total Equity,Total Shares Out. on Filing Date,Book Value / Share,Tangible Book Value,Tangible Book Value Per Share,Total Debt,Net Debt,Total Revenues,Operating Income,Revenue Per Share,Basic EPS,Normalized Basic EPS,Dividend Per Share,EBITA,EBIT,Normalized Net Income,Net Income,Cash from Operations,Cash from Investing,Cash from Financing,Net Change in Cash,Levered Free Cash Flow,Unlevered Free Cash Flow,Free Cash Flow / Share,Price_Change
NUE,2014-12-01,412.6,247.8,164.8,0.6,0.34,43.7,0.11,224.5,611.8,2053.1,394.6,6.28,0.6,0.73,0.01,392.7,394.6,233.6,191.3,265.0,-598.1,-555.0,-889.5,617.5,631.4,2.48,-4.33
SLGN,2016-12-01,-43.3,126.5,-169.8,-10.7,-1.03,-147.4,-1.47,47.3,122.5,-151.1,-14.0,-0.66,-0.13,-0.05,0.02,-14.0,-14.0,-9.4,-19.0,58.8,56.8,-68.2,47.3,5.0,5.5,0.88,-1.27
KO,2013-12-01,3881.0,3609.0,272.0,-50.8,0.2,109.0,0.04,4466.0,756.0,-1163.0,-111.0,-0.09,-0.06,-0.01,0.1,-136.0,-111.0,-156.2,-435.0,-103.0,7190.0,-398.0,6333.0,4487.4,4528.6,0.05,5.06
VIAC,2018-12-01,23654.0,14890.0,8764.0,-9.7,22.85,-3441.0,-9.61,8951.0,8380.0,715.0,269.0,2.71,1.97,0.42,0.0,272.0,269.0,166.9,1134.0,1025.0,-737.0,478.0,683.0,323.4,287.2,1.79,-15.28
CE,2017-12-01,1181.0,903.0,278.0,-5.1,2.86,-15.0,0.3,633.0,694.0,751.0,65.0,7.34,-0.1,0.66,0.36,78.0,65.0,60.0,-57.0,-90.0,-110.0,408.0,267.0,45.3,47.6,-0.57,28.34
MGM,2014-12-01,509.3,741.5,-232.2,0.9,-0.27,22.3,0.06,603.4,123.3,253.6,107.5,0.47,0.04,0.22,0.0,96.5,107.5,106.1,21.8,-179.7,-964.1,797.8,-350.2,-405.0,-432.6,-1.13,-2.14
BA,2017-12-01,22365.0,21529.0,836.0,-24.0,1.48,571.0,0.46,1165.0,1202.0,509.0,3125.0,8.95,6.11,3.58,1.32,3125.0,3125.0,1927.5,3424.0,2850.0,1320.0,-1763.0,2520.0,564.3,598.1,6.65,139.23
KR,2019-02-01,921.0,-9.0,930.0,-55.8,1.91,635.0,1.1,-361.0,-443.0,-1428.0,227.0,12.69,1.69,0.32,0.05,248.0,227.0,144.0,1203.0,751.0,1521.0,-2215.0,57.0,1624.0,1635.8,0.81,2.21
WM,2017-12-01,970.0,248.0,722.0,-6.0,1.83,734.0,1.64,181.0,191.0,876.0,208.0,2.32,1.77,0.32,0.06,204.0,208.0,128.0,767.0,177.0,309.0,-277.0,209.0,-207.4,-218.0,0.06,15.39
CENT,2014-09-01,-12.5,-28.8,16.5,1.7,-0.02,5.4,-0.02,-22.4,-78.0,-49.2,24.1,-1.56,0.22,0.33,0.0,23.3,24.1,15.9,10.7,154.8,-10.1,-48.1,96.8,144.8,143.0,3.35,0.71
