Company,Time,Total Assets,Total Liabilities,Total Equity,Total Shares Out. on Filing Date,Book Value / Share,Tangible Book Value,Tangible Book Value Per Share,Total Debt,Net Debt,Total Revenues,Operating Income,Revenue Per Share,Basic EPS,Normalized Basic EPS,Dividend Per Share,EBITA,EBIT,Normalized Net Income,Net Income,Cash from Operations,Cash from Investing,Cash from Financing,Net Change in Cash,Levered Free Cash Flow,Unlevered Free Cash Flow,Free Cash Flow / Share,Price
MCD,2016-12-01,31023.9,33228.2,-2204.3,819,-2.69,-4540.8,-5.54,25957.3,24732.9,24621.9,7820.2,28.82,5.49,5.12,3.61,7820.2,7820.2,4372.8,4686.5,6059.6,-981.6,-11262.4,-6462.1,2935.3,3488.3,4.96,121.72
PSMT,2014-08-01,938.1,389.8,548.3,29.7,18.45,512.2,17.23,91.4,-46.2,2517.6,138.2,84.63,3.07,2.85,0.70,138.2,138.2,84.8,92.9,137.3,-119.6,1.9,15.2,19.5,22.2,0.64,89.62
XOM,2014-12-01,349493.0,168429.0,181064.0,4194.7,41.51,174399.0,41.51,29121.0,24505.0,364763.0,34082.0,85.19,7.59,6.82,2.70,34082.0,34082.0,29207.5,32520.0,45116.0,-26975.0,-17888.0,-28.0,3917.5,4096.3,2.84,92.45
TMO,2013-12-01,31863.4,15007.3,16856.1,391.8,46.57,-2718.5,-7.51,10492.5,4662.0,13090.3,1789.4,36.33,3.53,2.72,0.60,2552.5,1789.4,979.6,1273.3,2010.7,-263.3,3310.0,5020.4,1872.1,2035.9,4.80,111.35
L,2013-12-01,79939.0,55033.0,24906.0,387.4,50.25,19013.0,49.10,10347.0,10053.0,14613.0,2690.0,37.60,1.53,2.44,0.25,2690.0,2690.0,949.1,595,2096.0,-3298.0,1271.0,66,-1386.4,-1120.8,0.92,48.24
TELNY,2017-12-01,24574.3,16982.1,7592.2,1492.7,4.69,54.7,0.04,9127.9,6270.5,13649.6,3071.0,9.10,0.97,1.07,0.99,3778.5,3071.0,1606.9,1459.5,4959.9,-1470.7,-3621.4,-77.0,1710.7,1908.6,1.62,20.82
JWN,2015-01-01,9245.0,6805.0,2440.0,190.4,12.84,2005.0,10.55,3131.0,2304.0,13506.0,1305.0,71.08,3.79,3.90,1.32,1315.0,1305.0,740.6,720,1220.0,-889.0,-698.0,-367.0,350.6,425.6,1.89,71.16
SYK,2019-12-01,30167.0,17360.0,12807.0,374.6,34.20,-489.0,-1.31,11477.0,7052.0,14884.0,3388.0,39.80,5.57,5.42,2.14,3852.0,3388.0,2028.8,2083.0,2191.0,-1455.0,3,721,1314.1,1493.5,4.12,209.94
OXY,2018-12-01,43854.0,22524.0,21330.0,749.5,28.46,21330.0,28.46,10317.0,7284.0,17824.0,4701.0,23.40,5.40,3.80,3.10,4701.0,4701.0,2896.3,4131.0,7669.0,-3206.0,-3102.0,1361.0,2408.6,2631.1,3.54,61.38
AAP,2013-12-01,5564.8,4048.6,1516.2,72.7,20.88,1266.5,17.44,1059.4,-53.1,6493.8,693.3,89.04,5.36,5.65,0.24,701.3,693.3,412.1,391.8,545.3,-362.1,331.2,514.4,352.6,375.5,4.79,110.68
IVZ,2018-12-01,30978.4,21646.0,9332.4,397.1,21.60,-754.4,-1.90,2408.8,1233.0,5314.1,1319.5,12.89,2.14,2.04,1.20,1349.2,1319.5,841.0,882.8,828.8,-2898.7,1540.0,-712.3,1986.5,2175.4,1.76,16.74
PEG,2016-12-01,40070.0,26940.0,13130.0,506.2,26.01,13016.0,25.78,11783.0,11359.0,8966.0,2262.0,17.75,1.76,2.46,1.64,2262.0,2262.0,1243.8,887,3313.0,-4248.0,966,31,-1812.9,-1572.3,-1.95,43.88
PWR,2019-12-01,8331.7,4277.9,4053.8,142.5,28.45,1613.9,11.34,1656.1,1491.3,12112.2,582.2,83.13,2.76,2.47,0.17,644.3,582.2,359.9,402.0,526.6,-617.6,177.7,86.5,336.2,376.2,1.81,40.71
AVY,2017-12-01,5136.9,4090.7,1046.2,87.9,11.89,-232.3,-2.64,1581.7,1335.0,6613.8,730.2,74.90,3.19,4.39,1.76,753.0,730.2,388.0,281.8,645.7,-543.3,-83.9,29.3,418.5,457.9,4.75,114.86
TSCO,2019-12-01,5289.3,3722.1,1567.1,117.3,13.26,1442.6,12.21,2709.5,2624.7,8351.9,746.1,69.76,4.70,3.79,1.36,746.1,746.1,453.9,562.4,811.7,-215.0,-598.8,-2.1,494.2,506.6,4.96,93.44
TT,2013-12-01,17658.1,10526.8,7131.3,278.0,25.00,-2393.7,-8.47,3521.2,1584.0,12350.5,1187.3,41.99,2.10,1.82,0.84,1316.2,1187.3,535.1,618.8,1091.5,-215.4,346.6,1228.8,1886.6,2060.9,2.89,61.6
TOT,2018-12-01,256762.0,138648.0,118114.0,2608.1,44.34,86718.0,33.25,53730.0,22214.0,184106.0,18363.0,70.61,4.39,4.95,2.94,18588.0,18363.0,12894.1,11446.0,24703.0,-14946.0,-13925.0,-5278.0,10120.0,10961.9,2.92,52.18
TOT,2013-12-01,239223.0,135844.0,103379.0,2268.5,44.19,81846.0,36.08,46081.0,25611.0,227969.0,25249.0,100.68,4.96,7.64,3.24,25541.0,25249.0,17302.6,11228.0,28513.0,-28032.0,-1521.0,-209.0,1539.4,1880.6,-0.55,61.25
FDX,2016-05-01,45959.0,32175.0,13784.0,265.5,51.91,6029.0,22.71,13762.0,10228.0,50365.0,4900.0,182.48,6.59,6.94,1.15,4914.0,4900.0,1915.6,1820.0,5708.0,-9446.0,3611.0,-229.0,968.5,1178.5,3.22,164.97
MSCI,2018-12-01,3388.0,3554.4,-166.5,84.3,-1.98,-1993.1,-23.68,2575.5,1671.3,1434.0,694.8,16.45,5.83,4.16,1.92,730.9,694.8,362.9,507.9,612.8,34.9,-626.5,14.7,472.1,551.5,6.47,147.43
TROW,2012-12-01,4202.8,356.7,3846.1,257.9,14.96,3180.4,12.37,0.0,-974.4,3022.5,1364.3,11.93,3.47,3.54,1.36,1364.3,1364.3,896.9,883.6,902.8,-310.1,-611.5,-18.8,912.4,912.4,3.26,63.53
